##########################
C: 0.3 | tow: 0.1
0 ) MCTS conf: -0.16 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [12, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 18]
1 ) MCTS conf: 0.26 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [5, 5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
2 ) MCTS conf: 0.29 , det: 0.9 | LTL [+++]  LDBA [ 0.01 ] path: [14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
3 ) MCTS conf: 0.33 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [1, 2, 2, 2, 3, 4, 9, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 11, 10, 15, 15]
4 ) MCTS conf: 0.37 , det: 0.99 | LTL [---]  LDBA [ 0.0 ] path: [14, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 17]
5 ) MCTS conf: 0.28 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [1, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
6 ) MCTS conf: 0.37 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [1, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 18]
7 ) MCTS conf: 0.16 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 11, 10, 15, 15]
8 ) MCTS conf: -0.13 , det: 0.99 | LTL [+++]  LDBA [ 0.01 ] path: [11, 12, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
9 ) MCTS conf: -0.01 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [23, 24, 19, 14, 9, 9, 4, 3, 2, 3, 3, 4, 9, 14, 19, 24, 23, 22, 22, 22, 23, 24, 19, 18]
